Args parsed
Training student without distillation (Full data but without smote)

Validating the train path:/home/micml/25m0764/MIC_project/final_dataset/dataset_600/train
Validating the train path:/home/micml/25m0764/MIC_project/final_dataset/dataset_600/test
Train size: 2833
Test size: 828
Creating model: teacher_model
Model created
The teacher_model has number of params = 3948677
Using weighted loss function for training
Starting training
Epoch [48/200], Training Loss: 0.8437, Training Accuracy: 63.36%, Validation Loss: 0.7443, Validation Accuracy: 74.76%
Epoch [49/200], Training Loss: 0.8307, Training Accuracy: 64.70%, Validation Loss: 0.8423, Validation Accuracy: 73.79%
Epoch [50/200], Training Loss: 0.8459, Training Accuracy: 62.83%, Validation Loss: 0.6030, Validation Accuracy: 77.29%
Epoch [51/200], Training Loss: 0.8092, Training Accuracy: 65.48%, Validation Loss: 0.6099, Validation Accuracy: 79.11%
Epoch [52/200], Training Loss: 0.8071, Training Accuracy: 64.95%, Validation Loss: 0.4745, Validation Accuracy: 83.09%
----------- saving --------------
Epoch [53/200], Training Loss: 0.8363, Training Accuracy: 63.82%, Validation Loss: 0.6095, Validation Accuracy: 77.90%
Epoch [54/200], Training Loss: 0.8121, Training Accuracy: 64.95%, Validation Loss: 0.5483, Validation Accuracy: 80.92%
Epoch [55/200], Training Loss: 0.7851, Training Accuracy: 66.36%, Validation Loss: 0.6308, Validation Accuracy: 76.69%
Epoch [56/200], Training Loss: 0.7970, Training Accuracy: 66.50%, Validation Loss: 0.4802, Validation Accuracy: 82.85%
Epoch [57/200], Training Loss: 0.8202, Training Accuracy: 64.24%, Validation Loss: 0.5258, Validation Accuracy: 81.40%
Epoch [58/200], Training Loss: 0.7644, Training Accuracy: 66.68%, Validation Loss: 1.0697, Validation Accuracy: 66.67%
Epoch [59/200], Training Loss: 0.7605, Training Accuracy: 66.08%, Validation Loss: 0.9043, Validation Accuracy: 69.44%
Epoch [60/200], Training Loss: 0.7778, Training Accuracy: 65.97%, Validation Loss: 0.5466, Validation Accuracy: 80.19%
Epoch [61/200], Training Loss: 0.7410, Training Accuracy: 67.38%, Validation Loss: 0.3854, Validation Accuracy: 85.02%
----------- saving --------------
Epoch [62/200], Training Loss: 0.7543, Training Accuracy: 66.01%, Validation Loss: 0.5439, Validation Accuracy: 81.52%
Epoch [63/200], Training Loss: 0.7290, Training Accuracy: 67.14%, Validation Loss: 1.3394, Validation Accuracy: 54.83%
Epoch [64/200], Training Loss: 0.7758, Training Accuracy: 66.08%, Validation Loss: 0.7014, Validation Accuracy: 75.85%
Epoch [65/200], Training Loss: 0.7402, Training Accuracy: 67.35%, Validation Loss: 0.6360, Validation Accuracy: 79.83%
Epoch [66/200], Training Loss: 0.7162, Training Accuracy: 68.13%, Validation Loss: 0.5195, Validation Accuracy: 82.00%
Epoch [67/200], Training Loss: 0.7407, Training Accuracy: 66.43%, Validation Loss: 0.6585, Validation Accuracy: 76.93%
Epoch [68/200], Training Loss: 0.7028, Training Accuracy: 69.36%, Validation Loss: 0.4319, Validation Accuracy: 83.70%
Epoch [69/200], Training Loss: 0.6739, Training Accuracy: 68.09%, Validation Loss: 0.6825, Validation Accuracy: 75.00%
Epoch [70/200], Training Loss: 0.7025, Training Accuracy: 67.91%, Validation Loss: 0.5385, Validation Accuracy: 81.88%
Epoch [71/200], Training Loss: 0.6991, Training Accuracy: 68.69%, Validation Loss: 0.5099, Validation Accuracy: 81.64%
Epoch [72/200], Training Loss: 0.7185, Training Accuracy: 67.42%, Validation Loss: 0.5287, Validation Accuracy: 81.40%
Epoch [73/200], Training Loss: 0.6844, Training Accuracy: 69.11%, Validation Loss: 0.4977, Validation Accuracy: 82.13%
Epoch [74/200], Training Loss: 0.6837, Training Accuracy: 69.93%, Validation Loss: 0.5138, Validation Accuracy: 81.28%
Epoch [75/200], Training Loss: 0.7086, Training Accuracy: 69.26%, Validation Loss: 0.4677, Validation Accuracy: 82.97%
Epoch [76/200], Training Loss: 0.6646, Training Accuracy: 69.57%, Validation Loss: 0.9905, Validation Accuracy: 70.65%
Epoch [77/200], Training Loss: 0.6609, Training Accuracy: 69.33%, Validation Loss: 0.6031, Validation Accuracy: 79.11%
Epoch [78/200], Training Loss: 0.6482, Training Accuracy: 69.96%, Validation Loss: 0.6107, Validation Accuracy: 78.38%
Epoch [79/200], Training Loss: 0.6346, Training Accuracy: 71.80%, Validation Loss: 0.5152, Validation Accuracy: 81.04%
Epoch [80/200], Training Loss: 0.6334, Training Accuracy: 70.28%, Validation Loss: 0.5588, Validation Accuracy: 81.52%
Epoch [81/200], Training Loss: 0.7213, Training Accuracy: 67.77%, Validation Loss: 0.5319, Validation Accuracy: 81.64%
Epoch [82/200], Training Loss: 0.6337, Training Accuracy: 71.80%, Validation Loss: 0.5577, Validation Accuracy: 81.16%
Epoch [83/200], Training Loss: 0.6320, Training Accuracy: 71.34%, Validation Loss: 0.4968, Validation Accuracy: 83.21%
Epoch [84/200], Training Loss: 0.6278, Training Accuracy: 70.98%, Validation Loss: 0.4974, Validation Accuracy: 82.97%
Epoch [85/200], Training Loss: 0.6766, Training Accuracy: 70.67%, Validation Loss: 0.5466, Validation Accuracy: 81.16%
Epoch [86/200], Training Loss: 0.5771, Training Accuracy: 73.63%, Validation Loss: 0.6474, Validation Accuracy: 75.48%
Epoch [87/200], Training Loss: 0.6241, Training Accuracy: 71.69%, Validation Loss: 0.5502, Validation Accuracy: 81.28%
Epoch [88/200], Training Loss: 0.6220, Training Accuracy: 72.33%, Validation Loss: 0.8799, Validation Accuracy: 73.07%
Epoch [89/200], Training Loss: 0.6363, Training Accuracy: 71.16%, Validation Loss: 0.5309, Validation Accuracy: 82.37%
Epoch [90/200], Training Loss: 0.5902, Training Accuracy: 73.10%, Validation Loss: 0.4327, Validation Accuracy: 83.70%
Epoch [91/200], Training Loss: 0.5825, Training Accuracy: 73.70%, Validation Loss: 0.5839, Validation Accuracy: 81.28%
Epoch [92/200], Training Loss: 0.6185, Training Accuracy: 72.47%, Validation Loss: 0.4641, Validation Accuracy: 82.85%
Epoch [93/200], Training Loss: 0.5903, Training Accuracy: 72.01%, Validation Loss: 0.5610, Validation Accuracy: 81.88%
Epoch [94/200], Training Loss: 0.5605, Training Accuracy: 73.88%, Validation Loss: 0.3743, Validation Accuracy: 86.35%
----------- saving --------------
Epoch [95/200], Training Loss: 0.5988, Training Accuracy: 72.86%, Validation Loss: 0.4078, Validation Accuracy: 85.51%
Epoch [96/200], Training Loss: 0.5499, Training Accuracy: 74.02%, Validation Loss: 0.4355, Validation Accuracy: 85.14%
Epoch [97/200], Training Loss: 0.6095, Training Accuracy: 72.33%, Validation Loss: 0.5040, Validation Accuracy: 82.97%
